"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "JavaScript", "JSON with Comments", "JSON", "XML", "Markdown", "comment", "blank", "total"
"/Users/saintsauce/repo/melody-client/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 23, 0, 14, 37
"/Users/saintsauce/repo/melody-client/eslint.config.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/saintsauce/repo/melody-client/next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/Users/saintsauce/repo/melody-client/package-lock.json", "JSON", 0, 0, 0, 0, 0, 5813, 0, 0, 0, 1, 5814
"/Users/saintsauce/repo/melody-client/package.json", "JSON", 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 28
"/Users/saintsauce/repo/melody-client/postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"/Users/saintsauce/repo/melody-client/public/file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/saintsauce/repo/melody-client/public/globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/saintsauce/repo/melody-client/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/saintsauce/repo/melody-client/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/saintsauce/repo/melody-client/public/window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/saintsauce/repo/melody-client/src/app/editor/page.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/saintsauce/repo/melody-client/src/app/globals.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/saintsauce/repo/melody-client/src/app/layout.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/saintsauce/repo/melody-client/src/app/page.tsx", "TypeScript JSX", 99, 0, 0, 0, 0, 0, 0, 0, 0, 3, 102
"/Users/saintsauce/repo/melody-client/src/components/editor/AIAssistantPanel.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/saintsauce/repo/melody-client/src/components/editor/PreviewPanel.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/saintsauce/repo/melody-client/src/components/editor/ProjectHeader.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/saintsauce/repo/melody-client/src/components/editor/TimelinePanel.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/saintsauce/repo/melody-client/src/components/editor/ToolBar.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/saintsauce/repo/melody-client/src/components/editor/ToolPanel.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/saintsauce/repo/melody-client/src/components/editor/VideoEditor.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/saintsauce/repo/melody-client/src/components/editor/buttons/BackButton.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/saintsauce/repo/melody-client/src/components/editor/buttons/RedoButton.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/saintsauce/repo/melody-client/src/components/editor/buttons/ShareButton.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/saintsauce/repo/melody-client/src/components/editor/buttons/ToolButton.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/saintsauce/repo/melody-client/src/components/editor/buttons/UndoButton.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/saintsauce/repo/melody-client/src/components/editor/buttons/UpgradeButton.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/saintsauce/repo/melody-client/src/components/editor/tools/AssetsToolPanel.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/saintsauce/repo/melody-client/src/components/editor/tools/CaptionToolPanel.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/saintsauce/repo/melody-client/src/components/editor/tools/MusicToolPanel.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/saintsauce/repo/melody-client/src/components/editor/tools/TextToolPanel.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/saintsauce/repo/melody-client/src/components/editor/tools/TransitionToolPanel.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/saintsauce/repo/melody-client/src/components/editor/tools/UploadToolPanel.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/saintsauce/repo/melody-client/src/components/editor/tools/VoiceoverToolPanel.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/saintsauce/repo/melody-client/src/constants/editor.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 36
"/Users/saintsauce/repo/melody-client/tailwind.config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/saintsauce/repo/melody-client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"Total", "-", 351, 55, 18, 18, 27, 5840, 5, 23, 2, 86, 6425
